SUBJNO,BLOCKNUM,BLOCKSIZE,NUMINBLOCK,TERM1,OP,TERM2,TERM3,ANSWER,PROBE,PROBETYPE,DIFFIC,MATHRESP,MATHACC,TIMEOUT,TBRLETTER,TYPED,RECALLED,MATHTIME,TFTIME,MAXTIME
6,4,5,4,8,*,9,-9,63,63,1,4,1,1,0,F,f,1,1.5336,0.8676,7.5355
6,4,5,5,4,*,5,-6,14,9,0,3,1,0,0,P,p,1,2.4905,1.3081,7.5355
6,5,7,1,5,*,7,5,40,37,0,3,0,1,0,J,t,0,1.9205,1.1385,7.5355
6,5,7,2,4,*,4,-5,11,3,0,2,0,1,0,T,j,0,1.8405,1.0388,7.5355
6,5,7,3,3,/,3,9,10,10,1,1,1,1,0,S,l,0,1.8876,0.6435,7.5355
6,5,7,4,2,*,4,-6,2,4,0,1,0,1,0,Y,p,0,2.5840,1.5405,7.5355
6,5,7,5,3,*,6,-5,13,13,1,2,1,1,0,L,fs,0,3.3106,0.9904,7.5355
6,5,7,6,9,*,7,-3,60,60,1,4,0,0,0,P,s,0,4.5150,1.0543,7.5355
6,5,7,7,8,/,1,-7,1,1,1,1,1,1,0,F,m,0,2.0640,1.3664,7.5355
6,6,5,1,3,*,3,-3,6,10,0,1,0,1,0,K,k,1,3.1404,1.3888,7.5355
6,6,5,2,6,*,5,-3,27,21,0,3,0,1,0,J,j,1,2.2259,1.1044,7.5355
6,6,5,3,7,*,3,6,27,27,1,3,1,1,0,T,t,1,2.4295,0.9744,7.5355
6,6,5,4,1,*,7,-4,3,3,1,1,0,0,0,F,f,1,1.3741,1.1518,7.5355
6,6,5,5,9,*,3,-6,21,22,0,3,0,1,0,N,l,0,3.8352,0.9124,7.5355
6,7,4,1,8,*,3,9,33,33,1,3,1,1,0,J,j,1,2.4219,1.8304,7.5355
6,7,4,2,9,*,6,-3,51,50,0,4,0,1,0,S,s,1,3.0291,0.8816,7.5355
6,7,4,3,6,*,2,6,18,13,0,2,0,1,0,F,f,1,2.2507,1.0730,7.5355
6,7,4,4,8,*,5,1,41,41,1,4,1,1,0,T,t,1,1.8407,0.6557,7.5355
6,8,3,1,3,*,4,1,13,6,0,2,0,1,0,R,r,1,2.6299,0.9871,7.5355
6,8,3,2,9,/,3,-2,1,1,1,1,0,0,0,J,j,1,2.7717,1.1121,7.5355
6,8,3,3,6,*,4,5,29,29,1,3,1,1,0,F,f,1,1.9600,0.8115,7.5355
6,9,6,1,4,*,7,-7,21,16,0,3,1,0,0,Y,y,1,3.1440,1.7806,7.5355
6,9,6,2,7,/,1,-2,5,5,1,1,1,1,0,F,f,1,2.3419,1.2039,7.5355
6,9,6,3,5,*,3,-1,14,14,1,2,1,1,0,N,k,0,1.7886,1.2425,7.5355
6,9,6,4,8,*,8,-4,60,60,1,4,1,1,0,K,n,0,2.0101,0.9200,7.5355
6,9,6,5,6,*,3,1,19,23,0,2,0,1,0,T,t,1,1.5049,0.9158,7.5355
6,9,6,6,5,*,5,1,26,25,0,3,0,1,0,J,j,1,1.8088,1.4739,7.5355
6,10,7,1,5,*,6,2,32,37,0,3,0,1,0,F,r,0,2.6699,0.9191,7.5355
6,10,7,2,6,/,1,3,9,9,1,1,1,1,0,R,f,0,1.5534,0.7830,7.5355
6,10,7,3,3,*,2,2,8,8,1,1,1,1,0,N,k,0,1.4113,0.8675,7.5355
6,10,7,4,5,*,4,-8,12,12,1,3,1,1,0,K,n,0,1.5468,1.3317,7.5355
6,10,7,5,8,*,2,-5,11,13,0,2,1,0,0,H,j,0,2.0066,1.5476,7.5355
6,10,7,6,4,/,1,8,12,10,0,1,0,1,0,Y,f,0,1.4610,1.1022,7.5355
6,10,7,7,6,*,6,-1,35,35,1,3,1,1,0,Q,n,0,2.4468,1.0101,7.5355
6,11,6,1,4,*,8,9,41,44,0,3,0,1,0,T,t,1,3.2925,1.9774,7.5355
6,11,6,2,1,*,3,6,9,10,0,1,0,1,0,Q,k,0,1.0687,1.1776,7.5355
6,11,6,3,2,/,2,9,10,10,1,1,0,0,0,F,f,1,1.1223,1.4268,7.5355
6,11,6,4,2,*,2,2,6,6,1,1,1,1,0,J,n,0,1.3607,0.9084,7.5355
6,11,6,5,5,*,2,-7,3,11,0,2,1,0,0,Y,j,0,2.9980,1.3522,7.5355
6,11,6,6,4,*,2,-7,1,1,1,1,1,1,0,P,y,0,2.3490,1.8187,7.5355
6,12,5,1,9,*,2,-4,14,14,1,2,1,1,0,Y,k,0,3.4455,0.9721,7.5355
6,12,5,2,1,*,6,-5,1,1,1,1,1,1,0,K,y,0,1.2531,0.9280,7.5355
6,12,5,3,4,/,2,-1,1,7,0,1,1,0,0,J,j,1,1.1671,1.3959,7.5355
6,12,5,4,7,*,6,2,44,44,1,4,1,1,0,H,h,1,2.6280,1.5368,7.5355
6,12,5,5,9,*,4,4,40,44,0,3,0,1,0,P,p,1,1.7370,1.3993,7.5355
6,13,3,1,7,*,2,-8,6,14,0,2,0,1,0,S,s,1,3.2293,0.9685,7.5355
6,13,3,2,8,/,2,-3,1,1,1,1,1,1,0,J,j,1,1.8112,0.8302,7.5355
6,13,3,3,5,/,1,6,11,13,0,1,0,1,0,F,f,1,2.0490,1.7257,7.5355
6,14,7,1,6,*,9,8,62,62,1,4,0,0,0,K,k,1,3.5611,1.4376,7.5355
6,14,7,2,3,*,8,5,29,23,0,3,0,1,0,Q,q,1,1.9773,1.2850,7.5355
6,14,7,3,9,*,9,-4,77,77,1,4,1,1,0,N,j,0,1.9576,0.9741,7.5355
6,14,7,4,8,*,4,-4,28,37,0,3,1,0,0,R,r,1,3.1439,1.9321,7.5355
6,14,7,5,2,*,6,-9,3,12,0,2,0,1,0,J,n,0,3.4817,1.1136,7.5355
6,14,7,6,6,/,6,5,6,6,1,1,1,1,0,H,h,1,2.5835,0.5916,7.5355
6,14,7,7,3,*,9,-6,21,29,0,3,0,1,0,F,f,1,4.1470,1.2128,7.5355
6,15,4,1,2,*,3,9,15,7,0,1,0,1,0,Q,q,1,3.9068,1.6090,7.5355
6,15,4,2,5,/,5,6,7,7,1,1,1,1,0,S,s,1,1.6130,0.6860,7.5355
6,15,4,3,9,*,8,8,80,76,0,4,0,1,0,R,r,1,1.9689,1.1006,7.5355
6,15,4,4,2,*,8,-3,13,13,1,2,1,1,0,F,f,1,2.5450,1.7435,7.5355
