SUBJNO,BLOCKNUM,BLOCKSIZE,NUMINBLOCK,TERM1,OP,TERM2,TERM3,ANSWER,PROBE,PROBETYPE,DIFFIC,MATHRESP,MATHACC,TIMEOUT,TBRLETTER,TYPED,RECALLED,MATHTIME,TFTIME,MAXTIME
6,Cal,15,1,7,*,7,3,52,52,1,4,1,1,0,-,-,-1,3.6877,1.0438,9999.0000
6,Cal,15,2,6,/,2,4,7,7,1,1,1,1,0,-,-,-1,2.2789,0.7854,9999.0000
6,Cal,15,3,7,*,9,-1,62,71,0,4,0,1,0,-,-,-1,1.8060,0.6781,9999.0000
6,Cal,15,4,1,*,2,5,7,4,0,1,0,1,0,-,-,-1,1.2875,0.7917,9999.0000
6,Cal,15,5,9,/,1,2,11,5,0,1,0,1,0,-,-,-1,3.3394,0.6561,9999.0000
6,Cal,15,6,1,*,4,-2,2,2,1,1,1,1,0,-,-,-1,2.8837,0.6104,9999.0000
6,Cal,15,7,4,*,6,5,29,26,0,3,0,1,0,-,-,-1,1.8732,0.9044,9999.0000
6,Cal,15,8,6,*,8,-2,46,41,0,4,0,1,0,-,-,-1,1.5054,0.7930,9999.0000
6,Cal,15,9,5,*,9,-5,40,33,0,4,0,1,0,-,-,-1,1.9092,0.7219,9999.0000
6,Cal,15,10,9,/,9,7,8,8,1,1,1,1,0,-,-,-1,2.2244,1.0696,9999.0000
6,Cal,15,11,4,*,9,9,45,45,1,3,0,0,0,-,-,-1,6.5247,1.2670,9999.0000
6,Cal,15,12,3,*,5,-1,14,14,1,2,1,1,0,-,-,-1,2.3621,1.0735,9999.0000
6,Cal,15,13,8,/,4,9,11,5,0,1,0,1,0,-,-,-1,2.1102,0.6725,9999.0000
6,Cal,15,14,5,*,8,-4,36,36,1,4,0,0,0,-,-,-1,3.8706,0.5420,9999.0000
6,Cal,15,15,6,*,7,-9,33,32,0,4,1,0,0,-,-,-1,4.0866,1.9032,9999.0000
6,Prac1,2,1,6,/,3,5,7,7,1,1,1,1,0,L,l,1,2.8057,1.2370,7.5355
6,Prac1,2,2,7,*,5,-6,29,22,0,3,0,1,0,P,p,1,3.6342,0.7712,7.5355
6,Prac2,3,1,2,*,7,5,19,22,0,2,1,0,0,T,p,0,2.2813,0.9906,7.5355
6,Prac2,3,2,2,*,9,7,25,34,0,2,0,1,0,Q,q,1,2.5841,0.8205,7.5355
6,Prac2,3,3,8,*,7,-1,55,55,1,4,-1,0,1,F,f,1,4.8918,2.6439,7.5355
6,1,6,1,1,*,5,-3,2,2,1,1,1,1,0,L,l,1,3.0466,0.7730,7.5355
6,1,6,2,4,*,3,2,14,14,1,2,1,1,0,P,k,0,2.4170,0.7570,7.5355
6,1,6,3,7,/,7,6,7,7,1,1,1,1,0,K,p,0,1.6560,1.1526,7.5355
6,1,6,4,1,*,9,-3,6,14,0,1,0,1,0,H,h,1,1.9848,2.0960,7.5355
6,1,6,5,4,/,4,4,5,10,0,1,0,1,0,S,s,1,1.9775,0.9256,7.5355
6,1,6,6,7,*,4,7,35,43,0,3,0,1,0,T,t,1,2.3507,0.9751,7.5355
6,2,4,1,1,/,1,9,10,9,0,1,0,1,0,T,t,1,1.7617,1.4918,7.5355
6,2,4,2,2,/,1,4,6,6,1,1,1,1,0,P,p,1,1.1158,0.9251,7.5355
6,2,4,3,3,/,1,5,8,8,1,1,1,1,0,F,f,1,1.8366,1.2956,7.5355
6,2,4,4,2,*,5,-1,9,4,0,2,0,1,0,J,j,1,2.2814,1.0579,7.5355
6,3,3,1,8,*,6,6,54,48,0,4,0,1,0,R,r,1,3.4770,1.0589,7.5355
6,3,3,2,1,*,8,9,17,24,0,1,0,1,0,J,j,1,1.5433,1.4942,7.5355
6,3,3,3,7,*,8,9,65,65,1,4,1,1,0,P,p,1,1.5024,1.2576,7.5355
6,4,5,1,3,*,7,8,29,21,0,3,0,1,0,T,t,1,2.9080,0.8248,7.5355
6,4,5,2,8,/,8,9,10,10,1,1,1,1,0,J,j,1,1.4971,0.7264,7.5355
6,4,5,3,9,*,5,-5,40,44,0,4,0,1,0,L,l,1,0.1429,1.3691,7.5355
