SUBJNO,BLOCKNUM,BLOCKSIZE,NUMINBLOCK,TERM1,OP,TERM2,TERM3,ANSWER,PROBE,PROBETYPE,DIFFIC,MATHRESP,MATHACC,TIMEOUT,TBRLETTER,TYPED,RECALLED,MATHTIME,TFTIME,MAXTIME
2,9,6,1,4,*,7,5,33,33,1,3,0,0,0,J,j,1,2.2505,1.7402,8.0965
2,9,6,2,7,/,1,3,10,10,1,1,1,1,0,T,t,1,0.0348,1.3834,8.0965
2,9,6,3,5,*,3,-6,9,4,0,2,0,1,0,R,r,1,2.1134,0.8479,8.0965
2,9,6,4,8,*,8,5,69,69,1,4,1,1,0,N,k,0,1.8541,1.2169,8.0965
2,9,6,5,6,*,3,-6,12,8,0,2,0,1,0,S,s,1,2.3782,0.7786,8.0965
2,9,6,6,5,*,5,1,26,31,0,3,0,1,0,H,h,1,2.9275,2.6954,8.0965
2,10,7,1,5,*,6,2,32,32,1,3,1,1,0,N,n,1,4.6613,0.8241,8.0965
2,10,7,2,6,/,1,3,9,14,0,1,0,1,0,F,f,1,2.3657,0.5607,8.0965
2,10,7,3,3,*,2,5,11,18,0,1,0,1,0,H,h,1,1.9909,0.4890,8.0965
2,10,7,4,5,*,4,-7,13,10,0,3,0,1,0,R,k,0,1.8578,0.6972,8.0965
2,10,7,5,8,*,2,9,25,25,1,2,0,0,0,Y,l,0,2.6700,1.3123,8.0965
2,10,7,6,4,/,1,-3,1,3,0,1,0,1,0,P,r,0,2.4667,0.8652,8.0965
2,10,7,7,6,*,6,9,45,45,1,3,1,1,0,L,p,0,3.4151,1.6160,8.0965
2,11,6,1,4,*,8,-7,25,25,1,3,1,1,0,S,s,1,3.7037,1.6389,8.0965
2,11,6,2,1,*,3,7,10,10,1,1,1,1,0,J,j,1,1.2121,0.4100,8.0965
2,11,6,3,2,/,2,9,10,10,1,1,1,1,0,H,h,1,1.9819,0.4691,8.0965
2,11,6,4,2,*,2,7,11,7,0,1,0,1,0,Y,u,0,1.7069,0.7122,8.0965
2,11,6,5,5,*,2,4,14,17,0,2,0,1,0,N,k,0,1.9616,1.2060,8.0965
2,11,6,6,4,*,2,-2,6,11,0,1,0,1,0,Q,q,1,4.0341,0.6528,8.0965
2,12,5,1,9,*,2,-5,13,7,0,2,0,1,0,T,t,1,1.8434,0.7972,8.0965
2,12,5,2,1,*,6,7,13,16,0,1,0,1,0,L,l,1,2.1658,0.6751,8.0965
2,12,5,3,4,/,2,7,9,9,1,1,1,1,0,Y,y,1,2.2037,0.8775,8.0965
2,12,5,4,7,*,6,-9,33,33,1,4,0,0,0,J,j,1,2.2974,3.1650,8.0965
2,12,5,5,9,*,4,-4,32,33,0,3,0,1,0,H,h,1,3.5512,1.0424,8.0965
2,13,3,1,7,*,2,-4,10,10,1,2,1,1,0,Y,y,1,1.7425,0.8829,8.0965
2,13,3,2,8,/,2,6,10,9,0,1,0,1,0,J,j,1,3.6304,0.6995,8.0965
2,13,3,3,5,/,1,9,14,23,0,1,0,1,0,S,s,1,2.4496,1.1106,8.0965
2,14,7,1,6,*,9,7,61,68,0,4,0,1,0,Y,y,1,4.8088,0.8109,8.0965
2,14,7,2,3,*,8,-4,20,20,1,3,0,0,0,J,j,1,2.0146,0.6965,8.0965
2,14,7,3,9,*,9,5,86,86,1,4,1,1,0,K,k,1,4.1241,0.7934,8.0965
2,14,7,4,8,*,4,-2,30,39,0,3,0,1,0,F,f,1,2.1906,0.8500,8.0965
2,14,7,5,2,*,6,-3,9,8,0,2,0,1,0,S,s,1,2.9518,3.0952,8.0965
2,14,7,6,6,/,6,6,7,7,1,1,1,1,0,L,l,1,3.2034,0.4769,8.0965
2,14,7,7,3,*,9,-5,22,22,1,3,-1,0,1,H,h,1,5.7711,2.3255,8.0965
2,15,4,1,2,*,3,-1,5,5,1,1,1,1,0,Q,q,1,2.0504,0.6437,8.0965
2,15,4,2,5,/,5,2,3,12,0,1,0,1,0,F,f,1,1.6836,0.6681,8.0965
2,15,4,3,9,*,8,-4,68,62,0,4,0,1,0,S,s,1,4.6399,1.2185,8.0965
2,15,4,4,2,*,8,7,23,23,1,2,-1,0,1,L,l,1,6.8518,1.2449,8.0965
